Posicao,Nome,Lançamento,Desenvolvedora/Publisher,Plataformas,Nota Média,Tempo de Jogo,Qtd Reviews,Qtd Likes,Tags,Descricao
13,Hades,2020,"Supergiant Games, Netflix","Windows PC, Mac, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, iOS",4.2,average: 48h | to finish: 39h | to master: 90h,12K,15K,"Adventure, Brawler, Indie, RPG","A rogue-lite hack and slash dungeon crawler in which Zagreus, son of Hades the Greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the ever-shifting underworld, while getting to know and forging relationships with its inhabitants."
14,Stardew Valley,2016,"ConcernedApe, 505 Games","Windows PC, Mac, Linux, Nintendo Switch 2, Nintendo Switch, PlayStation 4, PlayStation Vita, Wii U, Xbox One, Android, iOS",4.2,average: 128h | to finish: 108h | to master: 205h,11K,16K,"Adventure, Indie, RPG, Simulator, Strategy","Stardew Valley is an open-ended country-life RPG! You’ve inherited your grandfather’s old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? It won’t be easy. Ever since Joja Corporation came to town, the old ways of life have all but disappeared. The community center, once the town’s most vibrant hub of activity, now lies in shambles. But the valley seems full of opportunity. With a little dedication, you might just be the one to restore Stardew Valley to greatness!"
15,Among Us,2018,Innersloth,"Windows PC, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Android, iOS",3.1,average: 27h | to finish: 30h | to master: -h,9.2K,4.1K,"Indie, Strategy","Play with 4-15 player online or via local WiFi as you attempt to prepare your spaceship for departure, but beware as one or more random players among the Crew are Impostors bent on killing everyone! Originally created as a party game, we recommend playing with friends at a LAN party or online using voice chat. Enjoy cross-platform play between Android, iOS, PC, and console."
16,Resident Evil 2,2019,"Capcom Development Division 1, Capcom","Windows PC, Mac, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, iOS",4.3,average: 18h | to finish: 11h | to master: 39h,14K,19K,"Adventure, Shooter","Resident Evil 2 is a remake of 1998's Resident Evil 2. The game was not developed with the intent of improving the original, but rather a reimagining of the original story with redesigned maps, characters and story elements. Gameplay mechanics are more similar to Resident Evil 7: Biohazard though with the use of an over-the-shoulder camera."
17,Super Mario Odyssey,2017,"Nintendo EPD Production Group No. 8, Nintendo","Nintendo Switch 2, Nintendo Switch",4.3,average: 41h | to finish: 20h | to master: 60h,10K,13K,"Adventure, Platform","Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!"
18,Fortnite,2020,Epic Games,"Windows PC, Mac, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Android, iOS",3.1,average: 740h | to finish: 1073h | to master: -h,9.5K,5.3K,"Shooter, Simulator","Fortnite is a free-to-play online game where you and your friends can create, play and battle. Be the last player standing in Battle Royale and Zero Build, experience a concert or live event, or discover over a million creator-made games, including racing, parkour, zombie survival and more."
19,Super Smash Bros. Ultimate,2018,"Sora, Nintendo",Nintendo Switch,4.1,average: 271h | to finish: 59h | to master: -h,7.6K,9.5K,"Fighting, Platform","Super Smash Bros. Ultimate is a crossover fighting game for the Nintendo Switch and the fifth main entry in the series. It features every playable fighter from previous installments alongside new additions such as Inkling and Ridley. The game includes faster combat, new items, and expanded defensive mechanics. Modes include local and online multiplayer, a single-player adventure mode called World of Light, and various casual and competitive rulesets."
20,The Elder Scrolls V: Skyrim,2011,"Bethesda Game Studios, Bethesda Softworks","Windows PC, PlayStation 3, Xbox 360",4.0,average: 183h | to finish: 53h | to master: 96h,6.1K,9.5K,"Adventure, RPG","Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before."
21,Dark Souls III,2016,"FromSoftware, Bandai Namco Entertainment","Windows PC, PlayStation 4, Xbox One",4.3,average: 88h | to finish: 36h | to master: 91h,10K,14K,"Adventure, RPG","Dark Souls III is an action role-playing game developed by FromSoftware and published by Bandai Namco Entertainment. Released in March 2016, it is the fourth entry in the Souls series and the final instalment in the Dark Souls trilogy. Set in the decaying kingdom of Lothric, players take on the role of the ""Ashen One,"" an undead warrior tasked with rekindling the First Flame to prevent the world from falling into darkness. The game features challenging combat, intricate level design, and a deep, lore-rich narrative."
22,Minecraft,2016,Mojang Studios,"Windows PC, Mac, Linux, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Amazon Fire TV, Android, Gear VR, iOS, Windows Phone",4.3,average: 673h | to finish: 42h | to master: 149h,8.3K,13K,"Adventure, Arcade, Simulator","Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically-generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon."
23,The Witcher 3: Wild Hunt,2015,"CD Projekt RED, WB Games","Windows PC, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One",4.4,average: 114h | to finish: 88h | to master: 148h,7.1K,14K,"Adventure, RPG","The Witcher 3: Wild Hunt is an open-world action role-playing game developed by CD Projekt Red. Set in a dark fantasy world, the game follows Geralt of Rivia, a monster hunter searching for his adopted daughter, Ciri, while navigating political conflicts and supernatural threats. Gameplay features exploration, combat, character progression, and branching narratives shaped by player choices. Widely acclaimed for its writing, world-building, and depth, it is considered one of the most influential RPGs of its generation."
24,Terraria,2011,"Re-Logic, 505 Games","Windows PC, Mac, Linux, Nintendo 3DS, Nintendo Switch, PlayStation 4, PlayStation Vita, Wii U, Xbox One, PlayStation 3, Xbox 360, Android, Google Stadia, iOS, Windows Phone",4.1,average: 233h | to finish: 61h | to master: 295h,9K,11K,"Adventure, Indie, Platform, RPG, Simulator, Strategy","Terraria is a 2D sandbox action-adventure game with platforming and role-playing elements. Players create a character and are placed in a procedurally generated world where they mine resources, craft equipment, build structures, and fight enemies. Progression is driven by defeating bosses that unlock new tiers of items, biomes, and challenges. The game features a class system based on equipped gear, NPC recruitment tied to achievements, and supports both single-player and multiplayer modes. Terraria also includes official modding support through the tModLoader framework."
25,Mario Kart 8 Deluxe,2017,"Nintendo Entertainment Planning & Development, Nintendo","Nintendo Switch 2, Nintendo Switch",4.1,average: 58h | to finish: 22h | to master: -h,5.9K,8.4K,"Arcade, Racing","Hit the road with the definitive version of Mario Kart 8 and play anytime, anywhere! Race your friends or battle them in a revised battle mode on new and returning battle courses. Play locally in up to 4-player multiplayer in 1080p while playing in TV Mode. Every track from the Wii U version, including DLC, makes a glorious return. Plus, the Inklings appear as all-new guest characters, along with returning favorites, such as King Boo, Dry Bones, and Bowser Jr.!"
