Posicao,Nome,Lançamento,Desenvolvedora/Publisher,Plataformas,Nota Média,Tempo de Jogo,Qtd Reviews,Qtd Likes,Tags,Descricao
46,Fallout 4,2015,"Bethesda Game Studios, Bethesda Softworks","Windows PC, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One",3.4,average: 111h | to finish: 59h | to master: 167h,5.5K,5.3K,"RPG, Shooter","Bethesda Game Studios welcome you to the world of Fallout 4, their most ambitious game ever, and the next generation of open-world gaming. As the sole survivor of Vault 111, you enter a world destroyed by nuclear war. Every second is a fight for survival, and every choice is yours. Only you can rebuild and determine the fate of the Wasteland. Welcome home."
47,Far Cry 3,2012,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, PlayStation 3, Xbox 360",3.9,average: 25h | to finish: 22h | to master: 34h,4.6K,7K,"Adventure, Shooter","Explore an island playground as stunningly beautiful as it is diverse – from mountain ranges to swampy grasslands and white sandy beaches. Fight your way through the island’s towns, temples, river ports and more. Encounter a diverse and realistic cast of characters, including one of Far Cry’s most notorious villains: Vaas Montenegro. Dive into this deep and enriching story where morals are questionable and hope is all but abandoned."
48,Batman: Arkham Knight,2015,"Rocksteady Studios, Warner Bros. Interactive Entertainment","Windows PC, Nintendo Switch, PlayStation 4, Xbox One",4.1,average: 44h | to finish: 31h | to master: 55h,6.4K,9.7K,"Adventure, Brawler","Batman: Arkham Knight is an action-adventure game developed by Rocksteady Studios, released in 2015. It is the final installment in the Arkham series. Players control Batman as he faces Scarecrow, who unites Gotham's criminals to destroy the Dark Knight. The mysterious Arkham Knight, a new adversary, aids Scarecrow in his plan. The game features open-world exploration, stealth, combat, and puzzle-solving. A key addition is the Batmobile, used for traversal and combat. The story explores Batman’s psychological struggles and the collapse of his alliances as Gotham spirals into chaos."
49,Assassin's Creed IV Black Flag,2013,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, Nintendo Switch, PlayStation 4, Wii U, Xbox One, PlayStation 3, Xbox 360, Google Stadia",4.0,average: 42h | to finish: 29h | to master: 49h,4.9K,7.8K,Adventure,"Assassin’s Creed IV Black Flag begins in 1715, when pirates established a lawless republic in the Caribbean and ruled the land and seas. These outlaws paralyzed navies, halted international trade, and plundered vast fortunes. They threatened the power structures that ruled Europe, inspired the imaginations of millions, and left a legacy that still endures."
50,Animal Crossing: New Horizons,2020,"Nintendo EPD Production Group No. 5, Nintendo",Nintendo Switch,3.7,average: 209h | to finish: 85h | to master: -h,6.4K,6.3K,Simulator,"Escape to a deserted island and create your own paradise as you explore, create, and customize in Animal Crossing: New Horizons. Your island getaway has a wealth of natural resources that can be used to craft everything from tools to creature comforts. You can hunt down insects at the crack of dawn, decorate your paradise throughout the day, or enjoy sunset on the beach while fishing in the ocean. The time of day and season match real life, so each day on your island is a chance to check in and find new surprises all year round."
51,Sekiro: Shadows Die Twice,2019,"FromSoftware, Activision","Windows PC, PlayStation 4, Xbox One, Google Stadia",4.5,average: 51h | to finish: 33h | to master: 63h,7.7K,12K,Adventure,"Sekiro: Shadows Die Twice is an action-adventure game set in a reimagined late 1500s Sengoku-era Japan. Players control Wolf, a shinobi on a mission to rescue his kidnapped lord and seek revenge on his enemies. The game emphasizes precise sword combat, stealth, and mobility, replacing traditional RPG elements with a posture-based dueling system."
52,Super Mario Galaxy,2007,"Nintendo Entertainment Analysis & Development, Nintendo","Wii U, Wii",4.4,average: 27h | to finish: 16h | to master: 38h,5.9K,9.3K,"Adventure, Platform","A 3D platformer and first Wii entry in the Super Mario franchise, Super Mario Galaxy sees Mario jump across planets and galaxies with varying items, enemies, geographies and gravity mechanics in order to reach his enemy Bowser, who has attacked the Mushroom Kingdom and hijacked Princess Peach's castle with her inside."
53,Plants vs. Zombies,2009,"PopCap Games, Electronic Arts","Windows PC, Mac, PlayStation Vita, Nintendo DSi, PlayStation 3, Xbox 360, Android, iOS, Windows Phone",3.9,average: 24h | to finish: 9h | to master: 39h,5.1K,6.6K,"Puzzle, Real Time Strategy, Strategy, Tactical","Plants vs. Zombies is a tower defense game in which players protect their suburban home from waves of approaching zombies by placing various plants on a grid-based lawn. Each plant has a unique defensive function, from shooting projectiles to blocking or exploding, while different zombie types require specific strategies to defeat. The game spans five stages across daytime, nighttime, backyard pool, fog, and rooftop settings, with additional puzzle, mini-game, and survival modes."
54,Baldur's Gate III,2023,Larian Studios,"Windows PC, Mac, Linux, PlayStation 5, Xbox Series X|S, Google Stadia",4.6,average: 141h | to finish: 118h | to master: 180h,11K,17K,"RPG, Strategy, Turn Based Strategy","An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. The fate of Faerun lies in your hands. Alone, you may resist. But together, you can overcome."
55,Mario Kart Wii,2008,"Nintendo EAD Software Development Group No.1, Nintendo",Wii,4.0,average: 87h | to finish: 15h | to master: 69h,4.3K,6.2K,Racing,"Mario Kart Wii is a multiplayer-oriented racing game for the Wii, and the sixth main installment in the Mario Kart series. Mario Kart Wii retains the traditional item-based weaponry familiar with the franchise, where players can select a Mario franchise driver and themed vehicles. As with most racing games, the overarching goal is to place first among other competitors, through the usage of such items and taking the fastest routes to secure the leads. Several new key elements introduced to Mario Kart Wii include increasing the number of racers to 12 racers from 8 racers from previous entries in the series, as well as introducing a new type of vehicle to the franchise: bikes. The game takes advantage of features unique to the Wii, most notably its motion control capabilities. A Wii Wheel is included in most Mario Kart Wii packages, though the game is still compatible with other controllers. Game modes are also present such as the traditional Grand Prix, Versus, Battle, and Time Trial modes."
56,Wii Sports,2006,"Nintendo EAD Software Development Group No.2, Nintendo",Wii,3.9,average: 43h | to finish: -h | to master: -h,3.7K,5.5K,"Simulator, Sport","Wii Sports is a sports simulation game built around the motion controls of the Wii Remote. It collects five sports, tennis, baseball, bowling, golf, and boxing, played by moving the controller to mimic real actions such as swinging a racket or rolling a ball. The rules are simplified for accessibility, and players compete against the computer or each other, using customizable avatars. Additional training and fitness modes let players practice individual skills and track their progress over time."
57,The Last of Us Part II,2020,"Naughty Dog, Sony Interactive Entertainment","PlayStation 5, PlayStation 4",4.3,average: 38h | to finish: 26h | to master: 48h,8.6K,13K,"Adventure, Shooter","The Last of Us Part II is an action-adventure game set five years after the events of The Last of Us. The player traverses post-apocalyptic environments such as buildings and forests to advance the story. They can use firearms, improvised weapons, and stealth to defend against hostile humans and cannibalistic creatures infected by a mutated strain of the Cordyceps fungus. The game intermittently switches control between Ellie and Abby, and also briefly Joel in the opening sequence. The nimble nature of the player character introduces platforming elements, allowing the player to jump and climb to traverse environments and gain advantages during combat."
58,Super Mario 64,1996,"Nintendo Entertainment Analysis & Development, Nintendo","Wii U, Wii, Nintendo 64",4.2,average: 20h | to finish: 11h | to master: 17h,6K,7.3K,"Adventure, Platform","Mario is super in a whole new way! Combining the finest 3-D graphics ever developed for a video game and an explosive soundtrack, Super Mario 64 becomes a new standard for video games. It's packed with bruising battles, daunting obstacle courses, and underwater adventures. Retrieve the Power Stars from their hidden locations and confront your arch-nemesis— Bowser, King of the Koopas! • Run freely in a grassy meadow, tip-toe through a gloomy dungeon, climb to the top of a mountain, or take a swim in the moat! • Leap headfirst into a watery painting and soon you'll be searching for the surface in an underwater realm! • On-the-fly, 3-D rendered gameplay delivers the action of ruthless enemy attacks from every angle! • Find the Caps that give Mario super powers and ponder the mysteries of the pyramid; you can even race Koopas for fabulous prizes! • With the Nintendo 64 Controller and its analog Control Stick, Mario can crawl, kick down obstacles, swim, do reverse flips, and even stick the landing on his backwards somersault! • Saved game information is stored for up to four players in memory."
59,Assassin's Creed II,2009,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, Mac, PlayStation 3, Xbox 360",4.0,average: 26h | to finish: 24h | to master: 33h,3.8K,7K,"Adventure, Platform","Discover an intriguing and epic story of power, revenge and conspiracy set during a pivotal moment in history: the Italian Renaissance. Experience the freedom and immersion of an all new open world and mission structure with settings such as the rooftops and canals of beautiful Venice. Your options in combat, assassination and escape are vast, with many new weapons, settings and gameplay elements."
60,It Takes Two,2021,"Hazelight Studios, Electronic Arts","Windows PC, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One",4.2,average: 14h | to finish: 13h | to master: 13h,7.3K,8.8K,"Adventure, Platform, Puzzle","It Takes Two is a cooperative action-adventure game designed exclusively for two players, playable in local split-screen or online. Players control Cody and May, a married couple transformed into dolls, as they travel through fantastical environments based on their home and relationship. Gameplay combines platforming, puzzle-solving, and action sequences, with each level introducing new mechanics and giving the two characters different abilities that must be used together to progress. The game frequently changes its core mechanics from chapter to chapter, incorporating sections involving shooting, racing, flight, and other genres."
61,Persona 5 Royal,2019,"P Studio, Sega","Windows PC, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One",4.5,average: 121h | to finish: 116h | to master: 127h,11K,15K,"Adventure, RPG","Persona 5 Royal is an enhanced version of the turn-based role-playing game Persona 5, set in modern-day Tokyo. Players control a high school student who leads a group of secret vigilantes called the Phantom Thieves of Hearts, exploring supernatural dungeons called Palaces to change the hearts of corrupt adults. The game combines dungeon crawling and turn-based combat with social simulation elements, where players manage daily activities, build relationships, and develop character statistics across a school year. Royal adds new characters, a third semester, an additional Palace, new music, and expanded story content to the original game."
62,Grand Theft Auto IV,2008,"Rockstar North, Rockstar Games","Windows PC, PlayStation 3, Xbox 360",4.0,average: 39h | to finish: 28h | to master: 91h,4.6K,6.9K,"Adventure, Racing, Shooter","Grand Theft Auto IV is an action-adventure video game developed by Rockstar North and published by Rockstar Games. It is the eleventh title in the Grand Theft Auto series, and the first main entry since 2004's Grand Theft Auto: San Andreas. The game is played from a third-person perspective and its world is navigated on-foot or by vehicle. Throughout the single-player mode, players play as Niko Bellic. An online multiplayer mode is included with the game, allowing up to 32 players to engage in both co-operative and competitive gameplay in a recreation of the single-player setting. Two expansion packs were later released for the game, The Lost and Damned and The Ballad of Gay Tony, which both feature new plots that are interconnected with the main Grand Theft Auto IV storyline, and follow new protagonists."
63,Borderlands 2,2012,"Gearbox Software, 2K Games","Windows PC, Mac, Linux, Nintendo Switch, PlayStation 4, PlayStation Vita, Xbox One, PlayStation 3, Xbox 360, Android",3.7,average: 75h | to finish: 30h | to master: 108h,4.3K,4.9K,"RPG, Shooter","A new era of shoot and loot is about to begin. Play as one of four new vault hunters facing off against a massive new world of creatures, psychos and the evil mastermind, Handsome Jack. Make new friends, arm them with a bazillion weapons and fight alongside them in 4 player co-op on a relentless quest for revenge and redemption across the undiscovered and unpredictable living planet."
64,The Legend of Zelda: Tears of the Kingdom,2023,"Nintendo EPD Production Group No. 3, Nintendo",Nintendo Switch,4.3,average: 111h | to finish: 114h | to master: 274h,9.9K,11K,"Adventure, Puzzle","An epic adventure across the land and skies of Hyrule awaits in The Legend of Zelda: Tears of the Kingdom for Nintendo Switch. The adventure is yours to create in a world fueled by your imagination. In this sequel to The Legend of Zelda: Breath of the Wild, you'll decide your own path through the sprawling landscapes of Hyrule and the mysterious islands floating in the vast skies above. Can you harness the power of Link's new abilities to fight back against the malevolent forces that threaten the kingdom?"
65,Dark Souls: Remastered,2018,"QLOC, Bandai Namco Entertainment","Windows PC, Nintendo Switch, PlayStation 4, Xbox One",4.3,average: 56h | to finish: 37h | to master: 92h,8.2K,11K,"Adventure, RPG","Dark Souls Remastered is a remastered version of the original game Dark Souls. The updated version of the game features graphical enhancements, an expanded online mode, and the Artorias of the Abyss DLC."
66,Uncharted 4: A Thief's End,2016,"Naughty Dog, Sony Interactive Entertainment",PlayStation 4,4.3,average: 25h | to finish: 16h | to master: 49h,4.6K,9.2K,"Adventure, Shooter","Several years after his last adventure, retired fortune hunter, Nathan Drake, is forced back into the world of thieves. With the stakes much more personal, Drake embarks on a globe-trotting journey in pursuit of a historical conspiracy behind a fabled pirate treasure. His greatest adventure will test his physical limits, his resolve, and ultimately what he's willing to sacrifice to save the ones he loves."
67,Resident Evil 3,2020,"Capcom Development Division 1, Capcom","Windows PC, Mac, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, iOS",3.2,average: 9h | to finish: 5h | to master: 18h,9.7K,5.5K,"Adventure, Shooter","Resident Evil 3 is a remake of the original Resident Evil 3: Nemesis released in 1999. It updates the story and gameplay for a modern audience. Like the Resident Evil 2 remake, the game uses over-the-shoulder third person point of view similar to Resident Evil 4 and later installments. Players will spend most of their time playing as Jill Valentine, although on some occasions they will assume the role of Carlos Oliveira, giving him more screen time as a deuteragonist."
68,BioShock Infinite,2013,"Irrational Games, 2K Games","Windows PC, Mac, Linux, PlayStation 4, Xbox One, PlayStation 3, Xbox 360",3.7,average: 16h | to finish: 13h | to master: -h,4.4K,5.6K,"Adventure, Shooter","BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once."
69,God of War Ragnarök,2022,"SIE Santa Monica Studio, Sony Interactive Entertainment","Windows PC, PlayStation 5, PlayStation 4",4.3,average: 46h | to finish: 38h | to master: 60h,7.9K,10K,"Adventure, Brawler, RPG","God of War: Ragnarök is the ninth installment in the God of War series and the sequel to 2018's God of War. Continuing with the Norse mythology theme, the game is set in ancient Norway and features series protagonists Kratos, the former Greek God of War, and his young son Atreus. The game kicked off the events of Ragnarök, where Kratos and Atreus must journey to each of the Nine Realms in search of answers as they prepare for the prophesied battle that will end the world."
70,Ghost of Tsushima,2020,"Sucker Punch Productions, Sony Interactive Entertainment","PlayStation 5, PlayStation 4",4.2,average: 52h | to finish: 46h | to master: 58h,5.8K,9.4K,"Adventure, Brawler, RPG","Uncover the hidden wonders of Tsushima in this open-world action adventure. Forge a new path and wage an unconventional war for the freedom of Tsushima. Challenge opponents with your katana, master the bow to eliminate distant threats, develop stealth tactics to ambush enemies in order to win over the mongols."
71,Life Is Strange,2015,"DON'T NOD, Feral Interactive","Windows PC, Mac, Linux, PlayStation 4, Xbox One, PlayStation 3, Xbox 360, Android, iOS",3.9,average: 17h | to finish: 15h | to master: 17h,6.8K,9.9K,"Adventure, Indie, Puzzle","Life Is Strange is a five part episodic game that sets out to revolutionize story based choice and consequence games by allowing the player to rewind time and affect the past, present and future."
72,Call of Duty: Modern Warfare 2,2009,"Infinity Ward, Activision","Windows PC, Mac, PlayStation 3, Xbox 360",4.0,average: 49h | to finish: 6h | to master: -h,3.1K,5.5K,Shooter,"Call of Duty: Modern Warfare 2 is a first-person shooter video game developed by Infinity Ward and published by Activision for the Xbox 360 and PlayStation 3 video game consoles and the Microsoft Windows operating system. Officially announced on February 11, 2009, the game was released worldwide on November 10, 2009. It is the sixth installment of the Call of Duty series and the direct sequel to Call of Duty 4: Modern Warfare, continuing the same storyline, with Call of Duty: Modern Warfare 3 set to end the storyline."
73,BioShock,2007,"2K Boston, 2K Games","Windows PC, Mac, PlayStation 3, Xbox 360",4.1,average: 14h | to finish: 13h | to master: -h,3.8K,6.6K,"Adventure, Puzzle, RPG, Shooter","BioShock is a horror-themed first-person shooter set in a steampunk underwater dystopia. The player is urged to turn everything into a weapon: biologically modifying their own body with Plasmids, hacking devices and systems, upgrading their weapons, crafting new ammo variants, and experimenting with different battle techniques are all possible. The game is described by the developers as a spiritual successor to their previous PC title System Shock 2. BioShock received high praise in critical reviews for its atmospheric audio and visual quality, absorbing and original plot and its unique gaming experience."
74,Resident Evil Village,2021,"Capcom Development Division 1, Capcom","Windows PC, Mac, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, Google Stadia, iOS",3.9,average: 16h | to finish: 11h | to master: 44h,8K,8.7K,"Adventure, Shooter","Resident Evil Village is a first-person survival horror game and the sequel to Resident Evil 7: Biohazard. The game maintains elements from previous Resident Evil games, with players having to scavenge environments for items and manage their resources. However, it adds more action-oriented gameplay, with higher enemy counts and a greater emphasis on combat."
75,Fallout: New Vegas,2010,"Obsidian Entertainment, Bandai Namco Entertainment","Windows PC, PlayStation 3, Xbox 360",4.4,average: 79h | to finish: 50h | to master: 129h,6.7K,9.6K,"RPG, Shooter","In this first-person Western RPG, the player takes on the role of Courier 6, barely surviving after being robbed of their cargo, shot and put into a shallow grave by a New Vegas mob boss. The Courier sets out to track down their robbers and retrieve their cargo, and winds up getting tangled in the complex ideological and socioeconomic web of the many factions and settlements of post-nuclear Nevada."
76,Call of Duty: Black Ops II,2012,"Treyarch, Square Enix","Windows PC, PlayStation 5, PlayStation 4, PlayStation 3, Xbox 360",4.0,average: 93h | to finish: 7h | to master: -h,4K,5.9K,Shooter,"Pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, Call of Duty: Black Ops II propels players into a near future, 21st Century Cold War, where technology and weapons have converged to create a new generation of warfare between old and new foes. In this conflict, the mechanized creations of men reign supreme, facing off against each other as their creators stay safe and unconflicted, and in the process grow ever softer. In this scenario an important question will be asked: What happens when an enemy steals the keys to your war? To understand such a possible future, you must understand where you have been."
77,Call of Duty: Black Ops,2010,"Treyarch, Square Enix","Windows PC, Mac, PlayStation 5, PlayStation 4, PlayStation 3, Xbox 360",3.9,average: 42h | to finish: 7h | to master: 38h,3.3K,5.1K,Shooter,"Call of Duty: Black Ops is the seventh main Call of Duty game and the sequel to Call of Duty: World at War. The game differs from most previous installments, which would involve a usual three-country campaign, while Call of Duty: Black Ops features two playable countries (Russia and the USA) but only has an American campaign. Several new features are also introduced, such as dive-to-prone and the available use of a flashlight on certain weapons. Furthermore, the campaign's playable characters now speak while being controlled by the player. Extra game included within: + Zork (Apple II)"
78,NieR: Automata,2017,"PlatinumGames, Square Enix","Windows PC, PlayStation 4, Xbox One",4.3,average: 37h | to finish: 35h | to master: 55h,6.2K,8.9K,"Brawler, RPG","NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines."
79,Horizon Zero Dawn,2017,"Guerrilla Games, Sony Interactive Entertainment","Windows PC, PlayStation 5, PlayStation 4",3.5,average: 42h | to finish: 36h | to master: 58h,3.6K,4.2K,"Adventure, RPG, Shooter","Welcome to a vibrant world rich with the beauty of nature – but inhabited by awe-inspiring, highly advanced machines. As a young machine hunter named Aloy, you must unravel the mysteries of this world and find your own destiny."
80,The Legend of Zelda: Ocarina of Time,1998,"Nintendo Entertainment Analysis & Development, Nintendo","Wii U, Wii, 64DD, Nintendo 64",4.4,average: 29h | to finish: 27h | to master: 33h,5.4K,8.8K,"Adventure, Puzzle","The Legend of Zelda: Ocarina of Time is the fifth main installment of The Legend of Zelda series and the first to be released for the Nintendo 64. It was one of the most highly anticipated games of its age, and is listed among the greatest video games ever created by numerous websites and magazines. The gameplay of Ocarina of Time was revolutionary for its time, it has arguably made more of an impact on later games in the series than any of its predecessors even though they had the same cores of exploration, dungeons, puzzles and item usage. Among the gameplay mechanics, one of the most noteworthy is the time-traveling system. The game begins with the player controlling the child Link, but later on an adult Link becomes a playable character as well and each of them has certain unique abilities. Ocarina of Time also introduces the use of music to solve puzzles: as new songs are learned, they can be used to solve puzzles, gain access to new areas and warp to different locations. Dungeon exploration is somewhat more puzzle-oriented than in earlier games but they are not too complex."
81,Doom Eternal,2020,"id Software, Bethesda Softworks","Windows PC, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Google Stadia",4.2,average: 25h | to finish: 17h | to master: 64h,6.1K,7.2K,Shooter,"Doom Eternal is a first-person shooter developed by id Software and the sequel to Doom (2016). Players control the Doom Slayer as he fights to end a demonic invasion of Earth. Combat is built around aggressive resource management, where health, armor, and ammo are gained by executing, igniting, or chainsawing enemies. The game introduces platforming segments, destructible enemy weak points, an expanded weapon arsenal, and a multiplayer mode called Battlemode, where one player-controlled Slayer fights two player-controlled demons."
82,Half-Life 2,2004,"Valve, Electronic Arts","Windows PC, Mac, Linux, PlayStation 3, Xbox 360, Xbox, Android",4.4,average: 17h | to finish: 13h | to master: 24h,5.4K,8.4K,Shooter,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling. NOW. By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around them, from the physical environment to the behaviors even the emotions of both friends and enemies."
83,League of Legends,2009,"Riot Games, Tencent Holdings","Windows PC, Mac",2.4,average: 1925h | to finish: -h | to master: -h,7.8K,2.6K,"MOBA, RPG, Strategy","League of Legends is a fast-paced, competitive online game that blends the speed and intensity of an RTS with RPG elements. Two teams of powerful champions, each with a unique design and playstyle, battle head-to-head across multiple battlefields and game modes. With an ever-expanding roster of champions, frequent updates and a thriving tournament scene, League of Legends offers endless replayability for players of every skill level."
84,Super Smash Bros. Brawl,2008,"Sora, Nintendo",Wii,3.9,average: 123h | to finish: 10h | to master: -h,3.6K,5K,"Fighting, Platform","Super Smash Bros. Brawl is the third installment in the Super Smash Bros. series and the follow-up to Super Smash Bros. Melee. This edition introduces super attacks referred to as final smashes, as well as a brand-new adventure mode in The Subspace Emissary which is a side-scrolling adventure in the style of a platformer. It retains all basic mechanics of the Super Smash Bros. series, such as a damage meter, stocks, and Smash-style attacks."
85,Dishonored,2012,"Arkane Studios, Bethesda Softworks","Windows PC, PlayStation 3, Xbox 360",4.1,average: 20h | to finish: 13h | to master: 31h,3.8K,6.4K,"Adventure, Puzzle, RPG","Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal. Pursue your enemies under the cover of darkness or ruthlessly attack them head on with weapons drawn. The outcome of each mission plays out based on the choices you make."
86,Red Dead Redemption,2010,"Rockstar San Diego, Rockstar Games","Windows PC, PlayStation 3, Xbox 360",4.2,average: 27h | to finish: 23h | to master: 93h,4K,7.7K,"Adventure, RPG, Shooter","A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open world filled with wildlife, mini-games, and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family. Along his journey, he meets many characters emblematic of the Wild West, heroism, and the new civilization."
87,New Super Mario Bros.,2006,"Nintendo, iQue","Wii U, Nintendo DS",3.7,average: 17h | to finish: 7h | to master: 16h,3.4K,3.8K,"Adventure, Platform","New Super Mario Bros. is a side-scrolling 2.5D action-adventure platformer game for the Nintendo DS, starring Mario and Luigi. The game features a solo story mode with Mario or Luigi, a two-player wireless game Mario Vs. Luigi, as well as a minigame mode for up to four players. The gameplay of New Super Mario Bros. is very much like that of the classic 2D platformers, mostly Super Mario Bros. and Super Mario Bros. 3, and substantially builds upon them to create gameplay both classic and contemporary. As the game is on DS, the touch screen allows players to store an additional power-up and view the distance still to go in a level."
88,Titanfall 2,2016,"Respawn Entertainment, Electronic Arts","Windows PC, PlayStation 4, Xbox One",4.2,average: 17h | to finish: 6h | to master: 20h,5.6K,7.2K,"Adventure, Shooter","Titanfall 2 is a first-person shooter with both a single-player campaign and competitive multiplayer. The campaign follows a Militia rifleman who bonds with a Titan, a large bipedal mech, after his pilot is killed. Gameplay combines fast-paced infantry movement, including wall-running and double-jumping, with sections where the player controls the Titan in combat. Multiplayer features team-based modes with players fighting as both Pilots and Titans on the same battlefield."
89,Pokémon Emerald Version,2004,"Game Freak, Nintendo",Game Boy Advance,4.2,average: 63h | to finish: 33h | to master: 70h,4.1K,6.2K,"Adventure, RPG, Turn Based Strategy","Pokémon Emerald Version is a sister game to Pokémon Ruby and Sapphire. Emerald Version provided the main storyline with more depth and length, as well as making small aesthetic changes to the world and adding unique animations for each Pokémon."
90,Hotline Miami,2012,"Dennaton Games, Devolver Digital","Windows PC, Mac, Linux, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, PlayStation Vita, Xbox One, PlayStation 3, Android, Google Stadia",4.0,average: 8h | to finish: 5h | to master: 14h,5.4K,6.8K,"Arcade, Indie, Shooter","A top-down slasher/shooter with unlockable gameplay-altering masks and weapons, featuring a neon-flavoured electronic aesthetic, in which a hitman receives anonymous calls ordering him to travel to certain residences and crime dens and massacre those within, as he stumbles through unreal visions and inconsistencies without any answers to how, why or who."
91,Pokémon FireRed Version,2004,"Game Freak, Nintendo","Nintendo Switch, Game Boy Advance",3.9,average: 40h | to finish: 28h | to master: 102h,4K,5.2K,"Adventure, RPG, Turn Based Strategy","Pokémon FireRed Version and Pokémon LeafGreen Version are a pair of core series Generation III games that are set in the Kanto region. They were released in Japan on January 29, 2004, in North America on September 9, 2004, in Australia on September 23, 2004 and in Europe on October 1, 2004. As the first remakes in the Pokémon franchise, the games revisit the original pair of Pokémon games, Pokémon Red and Green Versions, and so feature all of the characters, plot elements, and challenges of them, but with several important upgrades to bring them up to speed with other Generation III games. The Game Boy Advance Wireless Adapter was initially included with the games when they were first released, eliminating the need for Game Link Cables when trading between the two games (and later Pokémon Emerald Version). In later copies, it was sold separately. FireRed and LeafGreen went on to become the second best-selling games of the Game Boy Advance, only behind Pokémon Ruby and Sapphire Versions. They also received Nintendo's Player's Choice awards."
92,Marvel's Spider-Man 2,2023,"Insomniac Games, Sony Interactive Entertainment","Windows PC, PlayStation 5",3.9,average: 28h | to finish: 22h | to master: 29h,8.8K,7.8K,"Adventure, Brawler","Marvel's Spider-Man 2 is an action-adventure game developed by Insomniac Games and published by Sony Interactive Entertainment. Released in October 2023 exclusively for the PlayStation 5, it is a direct sequel to Marvel's Spider-Man (2018) and Marvel's Spider-Man: Miles Morales (2020). The game continues the story of Peter Parker and Miles Morales as they face new challenges and threats in New York City. In Marvel's Spider-Man 2, players can switch between Peter and Miles, each with unique abilities and combat styles. The game introduces new villains, including Kraven the Hunter and Venom, while expanding the open-world environment with more detailed and interactive elements."
93,Overwatch,2023,Blizzard Entertainment,"Windows PC, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One",2.5,average: 261h | to finish: 236h | to master: -h,6.4K,2.6K,Shooter,"Overwatch is a free-to-play first-person hero shooter developed by Blizzard Entertainment. Players choose from a large roster of role-based heroes and compete in 5v5 team matches across various objective-based game modes, with both casual and ranked competitive play. Originally released as Overwatch 2 in 2023 as a successor to the 2016 original, the game was rebranded to simply Overwatch in 2026 with a renewed focus on seasonal narrative content and expanded hero rosters."
94,Genshin Impact,2020,"miHoYo, Cognosphere","Windows PC, PlayStation 5, Xbox Series X|S, PlayStation 4, Android, iOS",2.6,average: 448h | to finish: 563h | to master: -h,6.8K,2.4K,"Adventure, RPG","Genshin Impact is an open-world action RPG, where you embark on a journey across Teyvat to find your lost sibling and seek answers from The Seven, the gods of each element. Explore this wondrous world, join forces with a diverse range of characters, and unravel the countless mysteries that Teyvat holds..."
95,Team Fortress 2,2007,"Valve, Electronic Arts","Windows PC, Mac, Linux, PlayStation 3, Xbox 360",3.9,average: 430h | to finish: 520h | to master: -h,4.8K,4.9K,Shooter,"One of the most popular online action games of all time, Team Fortress 2 delivers constant free updates—new game modes, maps, equipment and, most importantly, hats. Nine distinct classes provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills."
96,Assassin's Creed,2007,"Ubisoft Montreal, Ubisoft Entertainment","PlayStation 3, Xbox 360",3.2,average: 16h | to finish: 15h | to master: 30h,2.8K,2.8K,"Adventure, Platform","Assassin's Creed is a non-linear action-adventure video game, during which the player controls a 12th-century Levantine Assassin named Altaïr Ibn-La'Ahad during the Third Crusade, whose life is experienced through the Animus by his 21st century descendant, Desmond Miles."
